title;price;discount;discount_price;release_date
Набор Resident Evil «3 в 1»;71.38;67%;23.55;18.10.2016
SD GUNDAM BATTLE ALLIANCE;59.99;-;-;25.08.2022
SD GUNDAM BATTLE ALLIANCE Deluxe Edition;74.99;50%;37.49;25.08.2022
WWE 2K22 для Xbox Series X|S;69.99;-;-;10.03.2022
Цифровой комплект WWE 2K22 Cross-Gen;79.99;-;-;10.03.2022
WWE 2K22 Deluxe Edition;99.99;-;-;10.03.2022
Издание WWE 2K22 nWo 4-Life Edition;119.99;-;-;10.03.2022
MechWarrior 5: Mercenaries;35.98;-;-;27.05.2021
MechWarrior 5: Mercenaries - JumpShip Edition;71.98;-;-;23.09.2021
World of Tanks;Бесплатно;-;-;28.07.2015
World of Tanks;Бесплатно;-;-;06.06.2023
World of Warships: Legends — Объединённые силы;Бесплатно;-;-;13.12.2022
World of Tanks: Modern Armor — В едином порыве;Бесплатно;-;-;13.12.2022
Call of Duty® 3;13.58;-7%;14.49;06.10.2009
Farming Simulator 22 - Platinum Edition;59.99;-;-;14.11.2022
Transformers: The Dark Spark;-;-;-;-
FIFA 18;Недоступно по отдельности;-;-;-
Dying Light: Enhanced Edition;29.99;-;-;12.02.2016
Dying Light: Definitive Edition;49.99;-;-;27.05.2021
It Takes Two — Цифровая версия;39.99;-;-;25.03.2021
It Takes Two — версия для друга;Бесплатно;-;-;25.03.2021
Bully: Scholarship Edition;9.50;-4%;9.89;11.06.2013
Immortals Fenyx Rising™;59.99;-;-;03.12.2020
IMMORTALS FENYX RISING - GOLD EDITION;99.99;75%;24.99;02.12.2020
Набор Assassin's Creed Вальгалла + Immortals Fenyx Rising;109.99;75%;27.49;15.03.2021
MLB® The Show™ 22 Xbox Series X | S;Недоступно по отдельности;-;-;-
MLB® The Show™ 22 для Xbox Series X|S;69.99;-;-;05.04.2022
MLB® The Show™ 22: Издание MVP - Xbox One and Xbox Series X|S;84.99;-;-;05.04.2022
No title;-;-;-;-
No title;-;-;-;-
Generation Zero®;29.99;-;-;26.03.2019
Generation Zero ® - Base Warfare Starter Bundle;37.99;-;-;23.06.2022
Generation Zero® - Resistance Bundle;39.99;-;-;25.08.2020
Generation Zero ® - Ultimate Bundle;69.99;-;-;25.05.2023
«The Walking Dead: Финальный сезон» — The Complete Season;19.99;-;-;14.08.2018
Slime Rancher;23.98;75%;5.99;01.08.2017
Age of Empires II: Definitive Edition;19.99;-;-;31.01.2023
Age of Empires II: Deluxe Definitive Edition Bundle;39.99;-;-;31.01.2023
LEGO Star Wars: TCS;8.14;-4%;8.49;06.08.2009
Chivalry 2;39.99;-;-;08.06.2021
Chivalry 2 Special Edition;49.99;-;-;08.06.2021
Chivalry 2 King's Edition;59.99;-;-;19.10.2022
Silent Hill: HD Collection;16.29;-;-;27.11.2012
EA SPORTS™ UFC® 2;Недоступно по отдельности;-;-;-
Call of Duty®: Black Ops 4 - Digital Deluxe;99.99;60%;39.99;12.10.2018
Green Hell;Недоступно по отдельности;-;-;-
Warhammer: Vermintide 2;29.99;-;-;11.07.2018
Warhammer: Vermintide 2 – Winds of Magic Bundle;37.49;-;-;18.12.2019
Vermintide Collection;39.99;-;-;28.08.2018
Warhammer: Vermintide 2 - Premium Edition;44.99;-;-;11.07.2018
Warhammer: Vermintide 2 - Ultimate Edition;54.99;-;-;18.12.2018
Forza Motorsport 5;-;-;-;-
The Mageseeker: A League of Legends Story™;29.99;-;-;18.04.2023
The Mageseeker: A League of Legends Story™ – эксклюзивное издание;39.99;-;-;18.04.2023
Grand Theft Auto: Vice City – The Definitive Edition;Недоступно по отдельности;-;-;-
Grand Theft Auto: The Trilogy – The Definitive Edition;59.99;50%;29.99;11.11.2021
«Путь титанов»: стандартный набор «Истоки» - (Предварительная версия игры);29.99;-;-;27.07.2022
Path of Titans Пакет основателей Делюкс (Предварительная версия игры);59.99;-;-;27.07.2022
Stardew Valley;14.99;-;-;14.12.2016
AEW: Fight Forever - Pre-Order;52.99;-;-;29.06.2023
AEW: Fight Forever Elite Edition - Pre-Order;71.99;10%;64.79;29.06.2023
Sonic Adventure™ 2;5.42;-;-;05.10.2012
ULTIMATE MARVEL VS. CAPCOM 3;29.98;-;-;07.03.2017
DARK SOULS™ III;69.99;-;-;12.04.2016
DARK SOULS™ III - Deluxe Edition;94.49;-;-;12.04.2016
CRISIS CORE –FINAL FANTASY VII– REUNION;49.99;30%;34.99;12.12.2022
CRISIS CORE –FINAL FANTASY VII– REUNION DIGITAL DELUXE EDITION;69.99;30%;48.99;13.12.2022
Neverwinter;Бесплатно;-;-;31.03.2015
Space Jam: A New Legacy - The Game;Бесплатно;-;-;15.07.2021
MLB® The Show™ 23: Эксклюзивное цифровое издание - Xbox One и Xbox Series X|S;99.99;20%;79.99;28.03.2023
MLB® The Show™ 23 для Xbox One;59.99;35%;38.99;28.03.2023
MLB® The Show™ 23 для Xbox Series X|S;69.99;30%;48.99;28.03.2023
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto;49.99;-;-;03.02.2017
NARUTO STORM 4 - Season Pass;23.98;-;-;05.02.2016
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy;69.99;-;-;25.08.2017
Cuphead;23.98;-;-;29.09.2017
Cuphead & The Delicious Last Course;26.99;-;-;30.06.2022
Золотое издание Call of Duty®: Advanced Warfare;59.99;-;-;07.04.2015
Call of Duty®: Advanced Warfare Digital Pro Edition;99.99;60%;39.99;03.11.2014
SONIC UNLEASHED;8.14;-4%;8.49;29.01.2015
Human Fall Flat;19.99;-;-;12.05.2017
Flailing Limbs Bundle;24.99;-;-;28.08.2018
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS;-;-;-;-
Madden NFL 25;-;-;-;-
Saints Row®: The Third™;8.14;-;-;15.05.2012
Издание LEGO® 2K Drive Cross-Gen Standard Edition;69.99;-;-;18.05.2023
Издание LEGO® 2K Drive Awesome Edition;99.99;-;-;15.05.2023
Издание LEGO® 2K Drive Awesome Rivals Edition;119.99;-;-;15.05.2023
Call of Duty®: Modern Warfare® Обновленная версия;39.99;-;-;04.11.2016
Call of Duty®: Infinite Warfare - Digital Legacy;79.99;60%;31.99;04.11.2016
Call of Duty®: Infinite Warfare - Digital Deluxe;99.99;-;-;04.11.2016
Sid Meier's Civilization VI;29.99;80%;5.99;21.11.2019
Sid Meier’s Civilization® VI Platinum Edition;49.99;-;-;27.07.2021
Sid Meier’s Civilization® VI Anthology;69.99;-;-;13.07.2021
METAL GEAR RISING: REVENGEANCE;9.50;-;-;28.05.2013
MONSTER HUNTER: WORLD™;23.98;25%;17.98;26.01.2018
Monster Hunter World: Iceborne, расшир. Издание;47.98;25%;35.98;30.09.2019
Monster Hunter World: Iceborne, расшир. издание Digital Deluxe;59.98;25%;44.98;30.09.2019
The Elder Scrolls Online: Tamriel Unlimited;Недоступно по отдельности;-;-;-
The Elder Scrolls® Online;19.99;70%;5.99;06.06.2017
The Elder Scrolls Online Collection: High Isle;49.99;-;-;21.06.2022
The Elder Scrolls Online Collection: Necrom;59.99;-;-;20.06.2023
The Elder Scrolls Online Collection: High Isle Collector's Edition;69.99;-;-;21.06.2022
The Elder Scrolls Online Deluxe Collection: Necrom;79.99;-;-;20.06.2023
Call of Duty®: Vanguard - Xbox Series X|S;Недоступно по отдельности;-;-;-
Call of Duty®: Vanguard - набор 'Два поколения';69.99;50%;34.99;09.11.2021
Battlefield™ V;Недоступно по отдельности;-;-;-
Battlefield™ V - стандартное издание;39.99;-;-;25.09.2019
Battlefield™ V — самое полное издание;49.99;75%;12.49;22.10.2020
PGA TOUR 2K23;Недоступно по отдельности;-;-;-
PGA TOUR 2K23 Cross-Gen Edition;69.99;65%;24.49;13.10.2022
Набор PGA TOUR 2K23 x NBA 2K23;99.99;70%;29.99;13.12.2022
Издание Deluxe PGA TOUR 2K23;99.99;-;-;13.10.2022
Издание PGA TOUR 2K23 Tiger Woods;119.99;50%;59.99;13.10.2022
LEGO® Batman™ 3: Покидая Готэм;19.99;-;-;14.11.2014
LEGO® Batman™ 3: Beyond Gotham Deluxe Edition;34.99;85%;5.24;14.11.2014
Комплект LEGO® «Герои и злодеи DC»;59.99;80%;11.99;26.03.2020
Комплект: South Park™ : The Stick of Truth™ + The Fractured but Whole™;79.99;75%;19.99;27.03.2018
South Park™: The Fractured but Whole™ - Gold Edition;89.99;75%;22.49;17.10.2017
Tom Clancy's Rainbow Six® Осада Operator Edition;79.99;-;-;07.03.2023
Tom Clancy's Rainbow Six® Осада Deluxe Edition;39.99;67%;13.19;07.03.2023
Tom Clancy's Rainbow Six® Осада Ultimate Edition;99.99;45%;54.99;07.03.2023
MX vs ATV All Out;29.99;-;-;27.03.2018
Forza Horizon 3;Недоступно по отдельности;-;-;-
LEGO® Звездные Войны™: Скайуокер. Сага;59.99;-;-;04.04.2022
LEGO® Звездные Войны™: Скайуокер. Сага - Deluxe;69.99;-;-;04.04.2022
STAR WARS The Clone Wars;6.78;-5%;7.09;22.04.2003
Shadow of the Tomb Raider Definitive Edition;39.99;-;-;05.11.2019
Tomb Raider: Definitive Survivor Trilogy;59.98;60%;23.99;17.03.2021
The Walking Dead: The Complete First Season;14.99;-;-;31.10.2014
Wobbly Life;18.58;20%;14.86;16.07.2021
Симулятор ОЛЕЕЕЕНЯ: Самая обычная оленья игра;19.99;-;-;23.11.2021
Набор Resident Evil «3 в 1»;71.38;67%;23.55;18.10.2016
Sudden Strike 4 - Complete Collection;39.99;-;-;02.09.2019
LEGO® Коллекция Marvel;59.99;75%;14.99;12.03.2019
Сезонный абонемент на Мстителей LEGO® Marvel;9.99;-;-;29.01.2016
Сезонный абонемент LEGO® Marvel Super Heroes 2;14.99;-;-;17.11.2017
"Коллекционное издание игры ""LEGO® Marvel's Мстители""";29.99;85%;4.49;29.01.2016
LEGO® Marvel Super Heroes 2 Издание делюкс;34.99;85%;5.24;17.11.2017
Call of Duty®: Advanced Warfare;-;-;-;-
Золотое издание Call of Duty®: Advanced Warfare;59.99;-;-;07.04.2015
Call of Duty®: Advanced Warfare Digital Pro Edition;99.99;60%;39.99;03.11.2014
Fable III;9.50;50%;4.75;29.10.2010
Riders Republic™;59.99;-;-;27.10.2021
RIDERS REPUBLIC DELUXE EDITION;79.99;-;-;12.01.2022
Riders Republic™ Gold Edition;99.99;75%;24.99;27.10.2021
Riders Republic™ Ultimate Edition;119.99;75%;29.99;27.10.2021
Need for Speed™ Payback;19.99;-;-;10.11.2017
Need for Speed™ Payback - Издание Deluxe;29.99;-;-;07.11.2017
Need for Speed™: Уникальный набор;59.99;-;-;22.12.2017
DRAGON BALL Z: KAKAROT Legendary Edition;119.99;-;-;03.02.2023
Assassin's Creed® Вальгалла Deluxe Edition;79.99;-;-;05.08.2021
Assassin's Creed Вальгалла Ragnarök Edition;99.99;-;-;09.04.2022
Набор Assassin's Creed Вальгалла + Immortals Fenyx Rising;109.99;75%;27.49;15.03.2021
Набор Assassin’s Creed Вальгалла + Watch Dogs: Legion;129.99;75%;32.49;08.02.2021
Assassin's Creed Вальгалла Complete Edition;139.99;-;-;09.04.2022
"Assassin's Creed - набор ""Мифология""";159.99;75%;39.99;09.01.2022
Age of Wonders 4;49.99;-;-;02.05.2023
Age of Wonders 4: Premium Edition;89.99;-;-;02.05.2023
Sonic Adventure;2.70;-;-;11.09.2012
DEAD ISLAND 2 DELUXE EDITION;74.99;-;-;20.04.2023
DEAD ISLAND 2 GOLD EDITION;89.99;-;-;20.04.2023
MONOPOLY FAMILY FUN PACK;19.99;-;-;26.11.2014
MONOPOLY PLUS + MONOPOLY Переполох;49.99;-;-;08.12.2021
Hasbro Family Fun Pack;52.49;-;-;22.10.2015
Hasbro Family Fun Pack - Super Edition;59.99;-;-;25.10.2016
Yu-Gi-Oh! Master Duel;Бесплатно;-;-;19.01.2022
Golf With Your Friends;19.99;-;-;18.05.2020
LEGO® Marvel's Мстители;19.99;-;-;29.01.2016
"Коллекционное издание игры ""LEGO® Marvel's Мстители""";29.99;85%;4.49;29.01.2016
LEGO® Коллекция Marvel;59.99;75%;14.99;12.03.2019
EA SPORTS™ FIFA 20;Недоступно по отдельности;-;-;-
Стражи Галактики Marvel;59.99;-;-;25.10.2021
MXGP 2021 - The Official Motocross Videogame;59.99;-;-;29.11.2021
LEGO® Властелин колец™;Недоступно по отдельности;-;-;-
Ghostrunner;29.99;60%;11.99;27.10.2020
Ghostrunner: Complete Edition;39.99;25%;29.99;29.06.2022
On The Road The Truck Simulator;35.98;-;-;11.02.2021
Big Rumble Boxing: Creed Champions;39.99;-;-;03.09.2021
Outlast 2;35.98;-;-;25.04.2017
LEGO® Worlds;29.99;-;-;10.03.2017
L.A. Noire;39.99;-;-;14.11.2017
Dead Island Definitive Edition;19.99;85%;2.99;31.05.2016
Dead Island Definitive Collection;29.99;85%;4.49;31.05.2016
Way of the Hunter;39.99;-;-;16.08.2022
Way of the Hunter: Elite Edition;54.99;-;-;16.08.2022
Forza Horizon;-;-;-;-
ONE PIECE ODYSSEY;69.99;-;-;12.01.2023
ONE PIECE ODYSSEY Deluxe Edition;94.99;30%;66.49;12.01.2023
TEKKEN 8;-;-;-;-
Star Trek: Resurgence;39.99;-;-;23.05.2023
Resident Evil Operation Raccoon City;12.22;-;-;20.03.2012
No title;-;-;-;-
Ancestors: The Humankind Odyssey;39.99;-;-;05.12.2019
Forza Horizon 5: deluxe-издание;66.65;50%;33.32;08.11.2021
Forza Horizon 5: стандартное издание;49.98;50%;24.99;08.11.2021
Forza Horizon 5: premium-издание;83.32;50%;41.66;04.11.2021
