title;price;discount;discount_price;release_date
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Белая акула»;44.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Акула-кит»;59.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Мегалодон»;89.99;-;-;19.12.2017
NBA 2K23 Digital Deluxe Edition;44.99;-;-;08.09.2022
Street Fighter™ 6 Deluxe Edition;84.99;-;-;02.06.2023
Street Fighter™ 6;59.99;-;-;02.06.2023
Street Fighter™ 6 Ultimate Edition;104.99;-;-;02.06.2023
Apex Legends™;Бесплатно;-;-;04.02.2019
NBA 2K23 для Xbox Series X|S;39.99;80%;7.99;08.09.2022
NBA 2K23 Digital Deluxe Edition;44.99;-;-;08.09.2022
NBA 2K23 Michael Jordan Edition;59.99;65%;20.99;08.09.2022
Набор PGA TOUR 2K23 x NBA 2K23;99.99;70%;29.99;13.12.2022
Rocket League®;Бесплатно;-;-;17.02.2016
Fall Guys;Бесплатно;-;-;21.06.2022
We Love Katamari REROLL+ Royal Reverie;29.99;-;-;01.06.2023
We Love Katamari REROLL+ Royal Reverie Special Edition;39.99;-;-;02.06.2023
MINABO - A walk through life;14.99;-;-;02.06.2023
Call of Duty®: Modern Warfare®;Недоступно по отдельности;-;-;-
Call of Duty®: Modern Warfare® - Цифровое стандартное издание;59.99;-;-;24.10.2019
We Love Katamari REROLL+ Royal Reverie Special Edition;39.99;-;-;02.06.2023
Speed Truck Racing;9.99;-;-;02.06.2023
Tom Clancy's Rainbow Six® Siege;Недоступно по отдельности;-;-;-
Tom Clancy's Rainbow Six® Осада Deluxe Edition;39.99;67%;13.19;07.03.2023
"Tom Clancy's Rainbow Six® Эвакуация: набор ""Единый""";59.99;70%;17.99;19.01.2022
Tom Clancy's Rainbow Six® Осада Operator Edition;79.99;-;-;07.03.2023
Tom Clancy's Rainbow Six® Осада Ultimate Edition;99.99;45%;54.99;07.03.2023
DRAGON BALL XENOVERSE 2;59.99;-;-;28.10.2016
Dragon Ball Xenoverse 1 and 2 Bundle;84.99;85%;12.74;28.10.2016
Kuroi Tsubasa;4.99;20%;3.99;02.06.2023
Trackmania®;Бесплатно;-;-;15.05.2023
Slayers X: Terminal Aftermath: Vengance of the Slayer;16.99;10%;15.29;01.06.2023
Hypnospace Outlaw & Slayers X: Terminal Aftermath: Vengance of the Slayer Bundle;33.49;-;-;01.06.2023
Overwatch® 2;Бесплатно;-;-;24.05.2016
Sugar Tanks;9.99;-;-;02.06.2023
Paper Flight - Beyond Time;9.99;-;-;02.06.2023
Away : The Survival Series;19.99;-;-;01.06.2023
Mortal Kombat 11;49.99;80%;9.99;23.04.2019
Ultimate-издание Mortal Kombat 11;59.99;-;-;17.11.2020
Комплект: Ultimate-издание MK11 + Injustice 2 - лег. Издание;99.99;85%;14.99;24.03.2021
Grand Theft Auto V (Xbox Series X|S);39.99;50%;19.99;14.03.2022
Grand Theft Auto Online;19.99;-;-;14.03.2022
Grand Theft Auto V (Xbox One и Xbox Series X|S);59.99;-;-;15.06.2022
Homebody;19.99;-;-;01.06.2023
Zombie Derby 2;4.99;10%;4.49;01.06.2023
Hypnospace Outlaw & Slayers X: Terminal Aftermath: Vengance of the Slayer Bundle;33.49;-;-;01.06.2023
Farworld Pioneers;14.99;-;-;30.05.2023
Call of Duty®: Black Ops;24.45;-;-;09.11.2010
The Sims™ 4;Недоступно по отдельности;-;-;-
Undead Horde 2: Necropolis;16.99;-;-;31.05.2023
The Tartarus Key;19.99;-;-;31.05.2023
Aquarist;14.99;-;-;31.05.2023
Lucy Dreaming;17.99;-;-;31.05.2023
Puzzle Quest 3;Бесплатно;-;-;31.05.2023
Puzzle by Nikoli W Yajilin;4.99;-;-;31.05.2023
Forza Horizon 5: стандартное издание;49.98;50%;24.99;08.11.2021
Forza Horizon 5: deluxe-издание;66.65;50%;33.32;08.11.2021
Forza Horizon 5: premium-издание;83.32;50%;41.66;04.11.2021
No Place Like Home;Недоступно по отдельности;-;-;-
Assassin's Creed® Мираж – Deluxe Edition;59.99;-;-;11.10.2023
Assassin's Creed® Мираж;49.99;-;-;11.10.2023
No title;-;-;-;-
A Building Full of Cats;2.99;20%;2.39;31.05.2023
Railbound;12.99;-;-;30.05.2023
Fritz - Don't call me a chess bot;19.99;-;-;31.05.2023
Age of Solitaire : Build Civilization;9.99;-;-;31.05.2023
Shame Legacy;34.99;-;-;30.05.2023
LASERPITIUM;14.99;20%;11.99;31.05.2023
Shame Legacy Xbox One Edition;29.99;-;-;30.05.2023
To Hell With The Ugly;19.99;-;-;30.05.2023
theHunter: Call of the Wild;29.99;-;-;02.10.2017
theHunter: Call of the Wild™ — Greenhorn Bundle;39.99;-;-;21.12.2022
theHunter: Call of the Wild™ — Seasoned Hunter Bundle;49.99;-;-;21.11.2022
theHunter: Call of the Wild™ - Master Hunter Bundle;59.99;-;-;21.11.2022
Rust Console Edition;49.99;-;-;21.05.2021
RUST Console Edition - Deluxe;59.99;-;-;21.05.2021
Rust Console Edition - Ultimate;79.99;-;-;21.05.2021
Call of Duty®: Black Ops Cold War;Недоступно по отдельности;-;-;-
Call of Duty®: Black Ops Cold War;59.99;-;-;16.12.2020
Call of Duty®: Black Ops Cold War - набор 'Два поколения';69.99;60%;27.99;16.12.2020
Chicory: Цветная сказка;19.99;-;-;30.05.2023
Five Nights at Freddy's: Security Breach;39.99;-;-;22.11.2022
Dead Island 2;69.99;20%;55.99;20.04.2023
DEAD ISLAND 2 DELUXE EDITION;74.99;-;-;20.04.2023
DEAD ISLAND 2 GOLD EDITION;89.99;-;-;20.04.2023
STAR WARS™ Episode I Racer;14.99;-;-;27.10.2020
Loop8: Summer of Gods;49.99;-;-;05.06.2023
Red Dead Redemption 2;59.99;67%;19.79;26.10.2018
Red Dead Online;19.99;50%;9.99;01.12.2020
Сюжетный режим Red Dead Redemption 2 и материалы из издания Ultimate Edition;79.99;-;-;01.12.2020
Red Dead Redemption 2: Ultimate Edition;99.99;-;-;26.10.2018
Grand Theft Auto Online;Недоступно по отдельности;-;-;-
Grand Theft Auto Online;19.99;-;-;14.03.2022
Grand Theft Auto V (Xbox Series X|S);39.99;50%;19.99;14.03.2022
Grand Theft Auto V (Xbox One и Xbox Series X|S);59.99;-;-;15.06.2022
Grand Theft Auto IV;16.29;-;-;06.07.2010
MLB® The Show™ 23 Xbox Series X|S;Недоступно по отдельности;-;-;-
MLB® The Show™ 23 для Xbox Series X|S;69.99;30%;48.99;28.03.2023
MLB® The Show™ 23: Эксклюзивное цифровое издание - Xbox One и Xbox Series X|S;99.99;20%;79.99;28.03.2023
ELDEN RING;69.99;-;-;25.02.2022
ELDEN RING Deluxe Edition;89.99;-;-;25.02.2022
Adios;21.58;-;-;17.03.2021
Halo Infinite;Бесплатно;-;-;15.11.2021
Halo Infinite (кампания);59.99;50%;29.99;08.12.2021
War Thunder;Бесплатно;-;-;23.10.2018
War Thunder - Комплект Новобранца Германии;4.99;-;-;30.06.2022
War Thunder - Стартовый комплект США;4.99;-;-;23.10.2018
War Thunder - Стартовый комплект СССР;5.99;-;-;30.06.2022
"War Thunder - Комплект ""Боевая тревога""";44.99;-;-;27.08.2020
War Thunder - Комплект Type 16 (FPS);59.99;-;-;07.03.2023
War Thunder - Комплект USS Des Moines;59.99;-;-;07.03.2023
War Thunder - Комплект F-4S Phantom II;69.99;-;-;07.03.2023
The Lord of the Rings: Gollum™;59.99;-;-;25.05.2023
The Lord of the Rings: Gollum™ - Precious Edition;69.99;-;-;25.05.2023
Forza Horizon 5;Недоступно по отдельности;-;-;-
Forza Horizon 5: стандартное издание;49.98;50%;24.99;08.11.2021
Forza Horizon 5: deluxe-издание;66.65;50%;33.32;08.11.2021
Forza Horizon 5: premium-издание;83.32;50%;41.66;04.11.2021
Комплект premium-изданий Forza Horizon 4 и Forza Horizon 5;199.99;70%;59.99;16.11.2022
ARK: Ultimate Survivor Edition;49.99;-;-;27.05.2021
Hoa;14.99;-;-;24.08.2021
Dead by Daylight;29.99;50%;14.99;23.06.2017
Dead by Daylight: Silent Hill Edition;49.99;40%;29.99;16.06.2020
Dead by Daylight: ULTIMATE EDITION;69.99;40%;41.99;04.08.2021
High On Life;59.99;25%;44.99;13.12.2022
